detector_position(mm),voltage(V)
1,84
1.05,84
1.1,84
1.15,84
1.2,84
1.25,84
1.3,84
1.35,84
1.4,84
1.45,84
1.5,84
1.55,84
1.6,84
1.65,84
1.7,85
1.75,85
1.8,85
1.85,85
1.9,86
1.95,86
2,88
2.05,89
2.1,90
2.15,92
2.2,98
2.25,105
2.3,119
2.35,134
2.4,147
2.45,166
2.5,183
2.55,203
2.6,227
2.65,249
2.7,278
2.75,308
2.8,339
2.85,364
2.9,399
2.95,439
3,466
3.05,503
3.1,538
3.15,582
3.2,615
3.25,659
3.3,706
3.35,748
3.4,788
3.45,830
3.5,869
3.55,921
3.6,967
3.65,1005
3.7,1051
3.75,1096
3.8,1146
3.85,1181
3.9,1222
3.95,1260
4,1297
4.05,1336
4.1,1374
4.15,1407
4.2,1437
4.25,1471
4.3,1489
4.35,1518
4.4,1544
4.45,1561
4.5,1581
4.55,1599
4.6,1612
4.65,1622
4.7,1631
4.75,1636
4.8,1642
4.85,1644
4.9,1645
4.95,1640
5,1635
5.05,1627
5.1,1620
5.15,1610
5.2,1595
5.25,1580
5.3,1563
5.35,1541
5.4,1521
5.45,1499
5.5,1477
5.55,1446
5.6,1424
5.65,1393
5.7,1368
5.75,1332
5.8,1310
5.85,1276
5.9,1244
5.95,1209
6,1173
6.05,1145
6.1,1108
6.15,1068
6.2,1042
6.25,1012
6.3,975
6.35,935
6.4,897
6.45,862
6.5,834
6.55,799
6.6,763
6.65,733
6.7,701
6.75,667
6.8,637
6.85,607
6.9,575
6.95,547
7,517
7.05,494
7.1,467
7.15,440
7.2,411
7.25,385
7.3,363
7.35,341
7.4,318
7.45,298
7.5,276
7.55,257
7.6,232
7.65,197
7.7,148
7.75,106
7.8,98
7.85,100
7.9,110
7.95,128
8,149
8.05,173
8.1,200
8.15,227
8.2,259
8.25,286
8.3,327
8.35,360
8.4,396
8.45,434
8.5,470
8.55,513
8.6,557
8.65,591
8.7,629
8.75,673
8.8,713
8.85,758
8.9,803
8.95,848
9,888